name	slack
sa11_sr\[1\]$_DFF_P_/D	-1.33723e-10
sa32_sr\[3\]$_DFF_P_/D	-1.13785e-10
sa11_sr\[7\]$_DFF_P_/D	-1.1126e-10
sa13_sr\[3\]$_DFF_P_/D	-1.10691e-10
u0.u2.d\[2\]$_DFF_P_/D	-1.10296e-10
sa02_sr\[5\]$_DFF_P_/D	-1.08425e-10
sa00_sr\[7\]$_DFF_P_/D	-1.04732e-10
sa02_sr\[2\]$_DFF_P_/D	-1.0404e-10
u0.u2.d\[1\]$_DFF_P_/D	-1.03635e-10
sa02_sr\[3\]$_DFF_P_/D	-1.0358e-10
u0.u1.d\[6\]$_DFF_P_/D	-1.03269e-10
sa20_sr\[3\]$_DFF_P_/D	-9.97666e-11
sa02_sr\[6\]$_DFF_P_/D	-9.73668e-11
sa02_sr\[7\]$_DFF_P_/D	-9.69401e-11
sa02_sr\[0\]$_DFF_P_/D	-9.68253e-11
sa02_sr\[1\]$_DFF_P_/D	-9.58088e-11
sa11_sr\[4\]$_DFF_P_/D	-9.27701e-11
sa11_sr\[3\]$_DFF_P_/D	-9.11844e-11
sa20_sr\[5\]$_DFF_P_/D	-9.11331e-11
sa11_sr\[0\]$_DFF_P_/D	-8.72438e-11
u0.u1.d\[2\]$_DFF_P_/D	-8.66479e-11
sa20_sr\[2\]$_DFF_P_/D	-8.64664e-11
sa32_sr\[7\]$_DFF_P_/D	-8.60592e-11
sa20_sr\[7\]$_DFF_P_/D	-8.46294e-11
sa11_sr\[5\]$_DFF_P_/D	-8.34554e-11
sa20_sr\[0\]$_DFF_P_/D	-8.13608e-11
sa03_sr\[3\]$_DFF_P_/D	-8.13419e-11
sa33_sr\[6\]$_DFF_P_/D	-7.59486e-11
sa23_sr\[2\]$_DFF_P_/D	-7.57214e-11
u0.u0.d\[6\]$_DFF_P_/D	-7.56351e-11
sa03_sr\[2\]$_DFF_P_/D	-7.51361e-11
sa00_sr\[0\]$_DFF_P_/D	-7.50097e-11
sa11_sr\[2\]$_DFF_P_/D	-7.45215e-11
sa10_sr\[2\]$_DFF_P_/D	-7.30112e-11
sa03_sr\[0\]$_DFF_P_/D	-7.12668e-11
u0.u2.d\[6\]$_DFF_P_/D	-7.10928e-11
sa23_sr\[7\]$_DFF_P_/D	-6.97307e-11
sa31_sr\[1\]$_DFF_P_/D	-6.86932e-11
sa30_sr\[1\]$_DFF_P_/D	-6.83338e-11
u0.u3.d\[1\]$_DFF_P_/D	-6.80419e-11
sa20_sr\[6\]$_DFF_P_/D	-6.73507e-11
sa32_sr\[5\]$_DFF_P_/D	-6.56235e-11
sa01_sr\[6\]$_DFF_P_/D	-6.54002e-11
sa32_sr\[6\]$_DFF_P_/D	-6.51166e-11
sa12_sr\[0\]$_DFF_P_/D	-6.49421e-11
u0.u0.d\[5\]$_DFF_P_/D	-6.48651e-11
sa01_sr\[0\]$_DFF_P_/D	-6.4861e-11
sa02_sr\[4\]$_DFF_P_/D	-6.39347e-11
sa23_sr\[1\]$_DFF_P_/D	-6.32899e-11
sa13_sr\[4\]$_DFF_P_/D	-6.31971e-11
sa00_sr\[6\]$_DFF_P_/D	-6.31788e-11
sa03_sr\[4\]$_DFF_P_/D	-6.31126e-11
sa32_sr\[1\]$_DFF_P_/D	-6.23323e-11
sa33_sr\[3\]$_DFF_P_/D	-6.18159e-11
u0.u1.d\[5\]$_DFF_P_/D	-6.07243e-11
sa13_sr\[7\]$_DFF_P_/D	-5.98442e-11
sa03_sr\[6\]$_DFF_P_/D	-5.97319e-11
sa13_sr\[0\]$_DFF_P_/D	-5.96764e-11
sa03_sr\[1\]$_DFF_P_/D	-5.94752e-11
sa20_sr\[1\]$_DFF_P_/D	-5.94625e-11
sa13_sr\[2\]$_DFF_P_/D	-5.93621e-11
sa21_sr\[1\]$_DFF_P_/D	-5.92487e-11
sa03_sr\[5\]$_DFF_P_/D	-5.87467e-11
sa32_sr\[0\]$_DFF_P_/D	-5.8432e-11
sa12_sr\[3\]$_DFF_P_/D	-5.72826e-11
sa12_sr\[7\]$_DFF_P_/D	-5.6924e-11
sa00_sr\[5\]$_DFF_P_/D	-5.68058e-11
sa33_sr\[5\]$_DFF_P_/D	-5.66346e-11
sa12_sr\[2\]$_DFF_P_/D	-5.58114e-11
u0.u2.d\[0\]$_DFF_P_/D	-5.45918e-11
sa21_sr\[2\]$_DFF_P_/D	-5.30834e-11
sa20_sr\[4\]$_DFF_P_/D	-5.29288e-11
sa03_sr\[7\]$_DFF_P_/D	-5.29105e-11
sa22_sr\[3\]$_DFF_P_/D	-5.28785e-11
sa00_sr\[1\]$_DFF_P_/D	-5.26554e-11
sa01_sr\[5\]$_DFF_P_/D	-5.21737e-11
sa21_sr\[6\]$_DFF_P_/D	-5.21652e-11
sa13_sr\[6\]$_DFF_P_/D	-5.21216e-11
sa12_sr\[6\]$_DFF_P_/D	-5.15624e-11
sa30_sr\[5\]$_DFF_P_/D	-5.0459e-11
sa21_sr\[0\]$_DFF_P_/D	-4.95561e-11
sa30_sr\[0\]$_DFF_P_/D	-4.91909e-11
u0.u2.d\[3\]$_DFF_P_/D	-4.88209e-11
sa23_sr\[0\]$_DFF_P_/D	-4.81454e-11
sa23_sr\[4\]$_DFF_P_/D	-4.80878e-11
sa23_sr\[6\]$_DFF_P_/D	-4.70761e-11
sa30_sr\[3\]$_DFF_P_/D	-4.70192e-11
sa33_sr\[1\]$_DFF_P_/D	-4.65551e-11
sa32_sr\[2\]$_DFF_P_/D	-4.60317e-11
sa01_sr\[1\]$_DFF_P_/D	-4.55656e-11
sa01_sr\[3\]$_DFF_P_/D	-4.49322e-11
sa01_sr\[2\]$_DFF_P_/D	-4.40595e-11
sa01_sr\[4\]$_DFF_P_/D	-4.36914e-11
sa13_sr\[1\]$_DFF_P_/D	-4.30834e-11
sa13_sr\[5\]$_DFF_P_/D	-4.30649e-11
sa33_sr\[7\]$_DFF_P_/D	-4.26258e-11
sa21_sr\[7\]$_DFF_P_/D	-4.23674e-11
sa33_sr\[0\]$_DFF_P_/D	-4.20021e-11
u0.u3.d\[4\]$_DFF_P_/D	-4.19613e-11
sa00_sr\[3\]$_DFF_P_/D	-4.06596e-11
sa10_sr\[0\]$_DFF_P_/D	-4.03748e-11
u0.u1.d\[0\]$_DFF_P_/D	-3.92893e-11
sa23_sr\[3\]$_DFF_P_/D	-3.92777e-11
u0.u1.d\[3\]$_DFF_P_/D	-3.91311e-11
sa31_sr\[2\]$_DFF_P_/D	-3.82742e-11
sa33_sr\[4\]$_DFF_P_/D	-3.7543e-11
sa30_sr\[6\]$_DFF_P_/D	-3.67766e-11
sa21_sr\[4\]$_DFF_P_/D	-3.60834e-11
sa10_sr\[4\]$_DFF_P_/D	-3.54061e-11
sa22_sr\[1\]$_DFF_P_/D	-3.48358e-11
u0.u2.d\[7\]$_DFF_P_/D	-3.43878e-11
u0.u3.d\[0\]$_DFF_P_/D	-3.3222e-11
sa30_sr\[2\]$_DFF_P_/D	-3.286e-11
sa30_sr\[4\]$_DFF_P_/D	-3.28458e-11
sa10_sr\[3\]$_DFF_P_/D	-3.25436e-11
sa10_sr\[1\]$_DFF_P_/D	-3.22982e-11
sa32_sr\[4\]$_DFF_P_/D	-3.22679e-11
sa31_sr\[0\]$_DFF_P_/D	-3.0652e-11
sa22_sr\[2\]$_DFF_P_/D	-2.99782e-11
sa12_sr\[1\]$_DFF_P_/D	-2.94001e-11
sa12_sr\[5\]$_DFF_P_/D	-2.8293e-11
sa22_sr\[7\]$_DFF_P_/D	-2.81533e-11
sa30_sr\[7\]$_DFF_P_/D	-2.77983e-11
u0.u2.d\[5\]$_DFF_P_/D	-2.73492e-11
sa21_sr\[5\]$_DFF_P_/D	-2.71244e-11
u0.u0.d\[2\]$_DFF_P_/D	-2.68188e-11
sa22_sr\[6\]$_DFF_P_/D	-2.59127e-11
u0.u0.d\[7\]$_DFF_P_/D	-2.55888e-11
